,first_name,last_name,team_name,season
0,Wayne,Routledge,England,2011
1,Craig,Gardner,England,2011
2,Csaba,Somogyi,Hungary,2011
3,Gustavo Lucas,Domingues Piazón,Brazil,2011
4,Daniel Jesse,Boateng,England,2011
5,Ali Abdullah Harib,Al Habsi,Oman,2011
6,Rubén,Rochina Naixes,Spain,2011
7,Steve,Sidwell,England,2011
8,Stuart,Taylor,England,2011
9,Victor Chinedu,Anichebe,Nigeria,2011
10,Carlos Javier,Cuéllar Jiménez,Spain,2011
11,Ronnie,Stam,Netherlands,2011
12,Tommy,Smith,England,2011
13,Titus Malachi,Bramble,England,2011
14,Albert,Crusat Domene,Spain,2011
15,Fitz,Hall,England,2011
16,Jody,Craddock,England,2011
17,Rob,Hulse,England,2011
18,Jonathan,Greening,England,2011
19,Philip,Airey,England,2011
20,Tyrone,Mears,Jamaica,2011
21,Nathan,Dyer,England,2011
22,Àngel,Rangel Zaragoza,Spain,2011
23,Jay Francis,Spearing,England,2011
24,James Robert,Wallace,England,2011
25,Andrew,Davies,England,2011
26,Chinedum,Onuoha,England,2011
27,Leon,Barnett,England,2011
28,Florent,Cuvelier,Belgium,2011
29,Jerome,Thomas,England,2011
30,Tony,Hibbert,England,2011
31,Carlo,Nash,England,2011
32,Luke,Moore,England,2011
33,Andy,Marshall,England,2011
34,Patrick,Agyemang,Ghana,2011
35,Adam,Drury,England,2011
36,Danny,Higginbotham,Gibraltar,2011
37,Oliver,Gill,England,2011
38,Jake,Nicholson,England,2011
39,Sean,Davis,England,2011
40,Scott,Dann,England,2011
41,Andrew,Surman,England,2011
42,Bradley,Johnson,England,2011
43,Benjamin,Watson,England,2011
44,Declan,Rudd,England,2011
45,Danny,Graham,England,2011
46,Billy,Jones,England,2011
47,Sammy,Ameobi,England,2011
48,James,Vaughan,England,2011
49,Lee,Cattermole,England,2011
50,Michael Grant,Harriman,Republic of Ireland,2011
51,Michael,Turner,England,2011
52,Joe,Riley,England,2011
53,Anton,Ferdinand,England,2011
54,Stephen,Dobbie,Scotland,2011
55,Simon,Lappin,Scotland,2011
56,Tom,Adeyemi,England,2011
57,Garry,Monk,England,2011
58,Ryan,Noble,England,2011
59,Craig,Lynch,England,2011
60,Dorus,de Vries,Netherlands,2011
61,Adam,Buxton,England,2011
62,Jason David Ian,Puncheon,England,2011
63,Jed John,Steer,England,2011
64,David Frank Llwyd,Jones,England,2011
65,Dean,Parrett,England,2011
66,Oumare,Tounkara,France,2011
67,Sylvain,Marveaux,France,2011
68,Ole,Söderberg,Sweden,2011
69,Chris,Eagles,England,2011
70,Grant,Holt,England,2011
71,Carl,Ikeme,Nigeria,2011
72,Nigel,Reo-Coker,England,2011
73,Reece,Brown,England,2011
74,Alex,Tchuimeni-Nimely,Liberia,2011
75,Alejandro Damián,Faurlin,Argentina,2011
76,Lauri,Dalla Valle,Finland,2011
77,Zak,Whitbread,USA,2011
78,Ricardo,Fuller,Jamaica,2011
79,Federico,Bessone Luna,Argentina,2011
80,Asamoah,Gyan,Ghana,2011
81,Roger,Johnson,England,2011
82,Eric,Lichaj,USA,2011
83,Liam,Ridgewell,England,2011
84,Ryan,Taylor,England,2011
85,Tom,Soares,England,2011
86,Wilson Roberto,Palacios Suazo,Honduras,2011
87,Hendry Bernardo,Thomas Suazo,Honduras,2011
88,Bongani Sandile,Khumalo,South Africa,2011
89,Papiss Demba,Cissé,Senegal,2011
90,Armand,Traoré,Senegal,2011
91,Taye Ismaila,Taïwo,Nigeria,2011
92,Shola,Ameobi,Nigeria,2011
93,Steven,Pienaar,South Africa,2011
94,Clint,Dempsey,USA,2011
95,Mahamadou,Diarra,Mali,2011
96,Joseph Phillip,Yobo,Nigeria,2011
97,Dickson Paul,Etuhu,Nigeria,2011
98,Salif Alassane,Diao,Senegal,2011
99,Marcus,Hahnemann,USA,2011
100,Denílson,Pereira Neves,Brazil,2011
101,Michael,Tonge,England,2011
102,Amine,Linganzi Koumba,Congo,2011
103,Ryan,Shotton,England,2011
104,David,Fox,England,2011
105,Vangelis,Moras,Greece,2011
106,Carlos Arnoldo,Salcido Flores,Mexico,2011
107,Emmanuel,Adebayor,Togo,2011
108,Maynor Alexis,Figueroa Róchez,Honduras,2011
109,Zoltán,Gera,Hungary,2011
110,Emmanuel Yaw,Frimpong,Ghana,2011
111,Giovani,dos Santos Ramírez,Mexico,2011
112,Kenwyne,Jones,Trinidad and Tobago,2011
113,Landon,Donovan,USA,2011
114,Mikel,Arteta Amatriain,Spain,2011
115,Mike,Pollitt,England,2011
116,Manuel,Almunia Rivero,Spain,2011
117,Sotirios,Kyrgiakos,Greece,2011
118,Lee,Cook,England,2011
119,Anthony,McNamee,England,2011
120,Ciaran,Clark,Republic of Ireland,2011
121,Shane Patrick,Long,Republic of Ireland,2011
122,Glenn David,Whelan,Republic of Ireland,2011
123,Keiren,Westwood,Republic of Ireland,2011
124,Darron,Gibson,Republic of Ireland,2011
125,Anthony Neil James,Pilkington,Republic of Ireland,2011
126,John,O'Shea,Republic of Ireland,2011
127,Marc David,Wilson,Republic of Ireland,2011
128,David,Meyler,Republic of Ireland,2011
129,Jonathan,Walters,Republic of Ireland,2011
130,Stephen,Kelly,Republic of Ireland,2011
131,Leon,Best,Republic of Ireland,2011
132,Kevin,Doyle,Republic of Ireland,2011
133,Stephen,Hunt,Republic of Ireland,2011
134,Ákos,Buzsáky,Hungary,2011
135,Heiðar,Helguson,Iceland,2011
136,Keith,Andrews,Republic of Ireland,2011
137,Márton,Fülöp,Hungary,2011
138,Dean,Kiely,Republic of Ireland,2011
139,Martin Charles,Rowlands,Republic of Ireland,2011
140,Michel,Vorm,Netherlands,2011
141,Davide,Santon,Italy,2011
142,Gareth,McAuley,Northern Ireland,2011
143,Stephen Robert,Ward,Republic of Ireland,2011
144,Chris,Brunt,Northern Ireland,2011
145,Mikel John,Obi,Nigeria,2011
146,Robin,van Persie,Netherlands,2011
147,Aaron,Hughes,Northern Ireland,2011
148,Demba,Ba,Senegal,2011
