,full_name,team_name,first_season,last_season
790,Alan Kelly,Ireland,1992,1992
1149,Alan Kernaghan,Ireland,1992,1992
1165,Alan Moore,Ireland,1992,1992
602,Andy Townsend,Ireland,1992,1992
462,Andy Turner,Ireland,1992,1992
1175,Bernie Slaven,Ireland,1992,1992
1120,Bobby Bowry,St. Kitts & Nevis,1992,1992
69,Brian Carey,Ireland,1992,1992
1159,Chris Morris,Ireland,1992,1992
1157,Curtis Fleming,Ireland,1992,1992
472,David McDonald,Ireland,1992,1992
538,David O'Leary,Ireland,1992,1992
15,Denis Irwin,Ireland,1992,1992
1116,Eddie McGoldrick,Ireland,1992,1992
951,Gary Kelly,Ireland,1992,1992
279,Gary Waddock,Ireland,1992,1992
652,Gerry Peyton,Ireland,1992,1992
1163,Graham Kavanagh,Ireland,1992,1992
1003,Jeff Kenna,Ireland,1992,1992
382,John Sheridan,Ireland,1992,1992
187,Kevin Moran,Ireland,1992,1992
169,Lee Power,Ireland,1992,1992
1060,Mike Milligan,Ireland,1992,1992
510,Niall Quinn,Ireland,1992,1992
650,Nick Colgan,Ireland,1992,1992
710,Paul McGee,Ireland,1992,1992
79,Paul McGrath,Ireland,1992,1992
834,Phil Babb,Ireland,1992,1992
87,Ray Houghton,Ireland,1992,1992
311,Ronnie Whelan,Ireland,1992,1992
1216,Roy Keane,Ireland,1992,1992
688,Scott Fitzgerald,Ireland,1992,1992
77,Steve Staunton,Ireland,1992,1992
492,Terry Phelan,Ireland,1992,1992
608,Tony Cascarino,Ireland,1992,1992
337,Tony Cousins,Ireland,1992,1992
872,Tony Sheridan,Ireland,1992,1992
840,Willie Boland,Ireland,1992,1992
