,full_name,team_name,season
0,Mark Bosnich,Man Utd,1999
1,Mark Bosnich,Australia,1999
2,Jonathan Greening,Man Utd,1999
3,Jonathan Greening,England,1999
4,David Beckham,Man Utd,1999
5,David Beckham,England,1999
6,Paul Scholes,Man Utd,1999
7,Paul Scholes,England,1999
8,Ryan Giggs,Man Utd,1999
9,Ryan Giggs,Wales,1999
10,Andy Cole,Man Utd,1999
11,Andy Cole,England,1999
12,Wes Brown,Man Utd,1999
13,Wes Brown,England,1999
14,John Curtis,Man Utd,1999
15,John Curtis,England,1999
16,Raimond van der Gouw,Man Utd,1999
17,Raimond van der Gouw,Netherlands,1999
18,Michael Twiss,Man Utd,1999
19,Michael Twiss,England,1999
20,Quinton Fortune,Man Utd,1999
21,Quinton Fortune,South Africa,1999
22,Nicky Butt,Man Utd,1999
23,Nicky Butt,England,1999
24,Roy Keane,Man Utd,1999
25,Roy Keane,Ireland,1999
26,Alex Notman,Man Utd,1999
27,Alex Notman,Scotland,1999
28,Jesper Blomqvist,Man Utd,1999
29,Jesper Blomqvist,Sweden,1999
30,Erik Nevland,Man Utd,1999
31,Erik Nevland,Norway,1999
32,Gary Neville,Man Utd,1999
33,Gary Neville,England,1999
34,Phil Neville,Man Utd,1999
35,Phil Neville,England,1999
36,Henning Berg,Man Utd,1999
37,Henning Berg,Norway,1999
38,Ronny Johnsen,Man Utd,1999
39,Ronny Johnsen,Norway,1999
40,Ole Gunnar Solskjaer,Man Utd,1999
41,Ole Gunnar Solskjaer,Norway,1999
42,Denis Irwin,Man Utd,1999
43,Denis Irwin,Ireland,1999
44,David May,Man Utd,1999
45,David May,England,1999
46,Dwight Yorke,Man Utd,1999
47,Dwight Yorke,Trinidad and Tobago,1999
48,David Healy,Man Utd,1999
49,David Healy,Northern Ireland,1999
50,Jordi Cruyff,Man Utd,1999
51,Jordi Cruyff,Netherlands,1999
52,Massimo Taibi,Man Utd,1999
53,Massimo Taibi,Italy,1999
54,Jaap Stam,Man Utd,1999
55,Jaap Stam,Netherlands,1999
56,Teddy Sheringham,Man Utd,1999
57,Teddy Sheringham,England,1999
58,Mikaël Silvestre,Man Utd,1999
59,Mikaël Silvestre,France,1999
60,Mark Wilson,Man Utd,1999
61,Mark Wilson,England,1999
62,Danny Higginbotham,Man Utd,1999
63,Danny Higginbotham,Gibraltar,1999
64,Mike Clegg,Man Utd,1999
65,Mike Clegg,England,1999
66,Michael Stewart,Man Utd,1999
67,Michael Stewart,Scotland,1999
68,Luke Chadwick,Man Utd,1999
69,Luke Chadwick,England,1999
70,Nick Culkin,Man Utd,1999
71,Nick Culkin,England,1999
72,Ronnie Wallwork,Man Utd,1999
73,Ronnie Wallwork,England,1999
74,Richie Wellens,Man Utd,1999
75,Richie Wellens,England,1999
76,John O'Shea,Man Utd,1999
77,John O'Shea,Ireland,1999
78,Lee Roche,Man Utd,1999
79,Lee Roche,England,1999
80,Paul Rachubka,Man Utd,1999
81,Paul Rachubka,England,1999
82,David Seaman,Arsenal,1999
83,David Seaman,England,1999
84,Dennis Bergkamp,Arsenal,1999
85,Dennis Bergkamp,Netherlands,1999
86,Patrick Vieira,Arsenal,1999
87,Patrick Vieira,France,1999
88,Thierry Henry,Arsenal,1999
89,Thierry Henry,France,1999
90,Davor Suker,Arsenal,1999
91,Davor Suker,Croatia,1999
92,Ray Parlour,Arsenal,1999
93,Ray Parlour,England,1999
94,Tony Adams,Arsenal,1999
95,Tony Adams,England,1999
96,Martin Keown,Arsenal,1999
97,Martin Keown,England,1999
98,Nwankwo Kanu,Arsenal,1999
99,Nwankwo Kanu,Nigeria,1999
100,Alexander Manninger,Arsenal,1999
101,Alexander Manninger,Austria,1999
102,Matthew Upson,Arsenal,1999
103,Matthew Upson,England,1999
104,Stefan Malz,Arsenal,1999
105,Stefan Malz,Germany,1999
106,Freddie Ljungberg,Arsenal,1999
107,Freddie Ljungberg,Sweden,1999
108,Marc Overmars,Arsenal,1999
109,Marc Overmars,Netherlands,1999
110,Emmanuel Petit,Arsenal,1999
111,Emmanuel Petit,France,1999
112,Oleg Luzhnyi,Arsenal,1999
113,Oleg Luzhnyi,Ukraine,1999
114,Nigel Winterburn,Arsenal,1999
115,Nigel Winterburn,England,1999
116,Lee Dixon,Arsenal,1999
117,Lee Dixon,England,1999
118,Jermaine Pennant,Arsenal,1999
119,Jermaine Pennant,England,1999
120,Paolo Vernazza,Arsenal,1999
121,Paolo Vernazza,England,1999
122,John Lukic,Arsenal,1999
123,John Lukic,England,1999
124,Stuart Taylor,Arsenal,1999
125,Stuart Taylor,England,1999
126,Gilles Grimandi,Arsenal,1999
127,Gilles Grimandi,France,1999
128,Nelson Vivas,Arsenal,1999
129,Nelson Vivas,Argentina,1999
130,Sylvinho,Arsenal,1999
131,Sylvinho,Brazil,1999
132,Stephen Hughes,Arsenal,1999
133,Stephen Hughes,England,1999
134,Christopher Wreh,Arsenal,1999
135,Christopher Wreh,Liberia,1999
136,Tommy Black,Arsenal,1999
137,Tommy Black,England,1999
138,Luís Boa Morte,Arsenal,1999
139,Luís Boa Morte,Portugal,1999
140,Moritz Volz,Arsenal,1999
141,Moritz Volz,Germany,1999
142,Graham Barrett,Arsenal,1999
143,Graham Barrett,Ireland,1999
144,Ashley Cole,Arsenal,1999
145,Ashley Cole,England,1999
146,Julian Gray,Arsenal,1999
147,Julian Gray,England,1999
148,Rhys Weston,Arsenal,1999
149,Rhys Weston,Wales,1999
150,Brian McGovern,Arsenal,1999
151,Brian McGovern,Ireland,1999
152,Michael Duberry,Leeds,1999
153,Michael Duberry,England,1999
154,Warren Feeney,Leeds,1999
155,Warren Feeney,Northern Ireland,1999
156,Harry Kewell,Leeds,1999
157,Harry Kewell,Australia,1999
158,Nigel Martyn,Leeds,1999
159,Nigel Martyn,England,1999
160,Lucas Radebe,Leeds,1999
161,Lucas Radebe,South Africa,1999
162,Jonathan Woodgate,Leeds,1999
163,Jonathan Woodgate,England,1999
164,Eirik Bakke,Leeds,1999
165,Eirik Bakke,Norway,1999
166,Michael Bridges,Leeds,1999
167,Michael Bridges,England,1999
168,David Batty,Leeds,1999
169,David Batty,England,1999
170,Lee Bowyer,Leeds,1999
171,Lee Bowyer,England,1999
172,Ian Harte,Leeds,1999
173,Ian Harte,Ireland,1999
174,Danny Mills,Leeds,1999
175,Danny Mills,England,1999
176,David Hopkin,Leeds,1999
177,David Hopkin,Scotland,1999
178,Matthew Jones,Leeds,1999
179,Matthew Jones,Wales,1999
180,Alf-Inge Haaland,Leeds,1999
181,Alf-Inge Haaland,Norway,1999
182,Paul Robinson,Leeds,1999
183,Paul Robinson,England,1999
184,Martin Hiden,Leeds,1999
185,Martin Hiden,Austria,1999
186,Darren Huckerby,Leeds,1999
187,Darren Huckerby,England,1999
188,Danny Milosevic,Leeds,1999
189,Danny Milosevic,Australia,1999
190,Gary Kelly,Leeds,1999
191,Gary Kelly,Ireland,1999
192,Stephen McPhail,Leeds,1999
193,Stephen McPhail,Ireland,1999
194,Jason Wilcox,Leeds,1999
195,Jason Wilcox,England,1999
196,Alan Smith,Leeds,1999
197,Alan Smith,England,1999
198,Danny Hay,Leeds,1999
199,Danny Hay,New Zealand,1999
200,Davie Robertson,Leeds,1999
201,Davie Robertson,Scotland,1999
202,Alan Maybury,Leeds,1999
203,Alan Maybury,Ireland,1999
204,Mark Jackson,Leeds,1999
205,Mark Jackson,England,1999
206,Robert Molenaar,Leeds,1999
207,Robert Molenaar,Netherlands,1999
208,Wesley Boyle,Leeds,1999
209,Wesley Boyle,Northern Ireland,1999
210,Lee Matthews,Leeds,1999
211,Lee Matthews,England,1999
212,Tony Hackworth,Leeds,1999
213,Tony Hackworth,England,1999
214,Damien Lynch,Leeds,1999
215,Damien Lynch,Ireland,1999
216,Gareth Evans,Leeds,1999
217,Gareth Evans,England,1999
218,Djimi Traoré,Liverpool,1999
219,Djimi Traoré,Mali,1999
220,Brad Friedel,Liverpool,1999
221,Brad Friedel,United States,1999
222,Sander Westerveld,Liverpool,1999
223,Sander Westerveld,Netherlands,1999
224,Phil Babb,Liverpool,1999
225,Phil Babb,Ireland,1999
226,Jamie Carragher,Liverpool,1999
227,Jamie Carragher,England,1999
228,Stéphane Henchoz,Liverpool,1999
229,Stéphane Henchoz,Switzerland,1999
230,Sami Hyypiä,Liverpool,1999
231,Sami Hyypiä,Finland,1999
232,Bjørn Tore Kvarme,Liverpool,1999
233,Bjørn Tore Kvarme,Norway,1999
234,Dominic Matteo,Liverpool,1999
235,Dominic Matteo,Scotland,1999
236,Rigobert Song,Liverpool,1999
237,Rigobert Song,Cameroon,1999
238,Steve Staunton,Liverpool,1999
239,Steve Staunton,Ireland,1999
240,Stig Inge Björnebye,Liverpool,1999
241,Stig Inge Björnebye,Norway,1999
242,Vegard Heggem,Liverpool,1999
243,Vegard Heggem,Norway,1999
244,Frode Kippe,Liverpool,1999
245,Frode Kippe,Norway,1999
