,full_name,team_name,first_season,last_season
530,Aaron Brian Doran Cogan,Republic of Ireland,2009,2009
440,Andy Declan Keogh,Republic of Ireland,2009,2009
155,Andy O'Brien,Republic of Ireland,2009,2009
137,Andy Reid,Republic of Ireland,2009,2009
146,Anthony Stokes,Republic of Ireland,2009,2009
336,Aruna Dindane,CÃ´te d'Ivoire,2009,2009
617,Bradley Edwin Guzan,USA,2009,2009
539,Caleb Colman Folan,Ireland Republic,2009,2009
310,Christopher John McCann,Republic of Ireland,2009,2009
603,Chung,Korea Republic,2009,2009
141,Ciaran Clark,Republic of Ireland,2009,2009
108,Clint Dempsey,USA,2009,2009
493,Colin Anthony Doyle,Republic of Ireland,2009,2009
225,Conor Henderson,Republic of Ireland,2009,2009
506,Conor Hourihane,Republic of Ireland,2009,2009
152,Damien Duff,Republic of Ireland,2009,2009
121,Darron Gibson,Republic of Ireland,2009,2009
306,Daryl Michael Murphy,Republic of Ireland,2009,2009
145,David Meyler,Republic of Ireland,2009,2009
329,Didier Yves Drogba Tébily,Côte d'Ivoire,2009,2009
113,Eddie Johnson,USA,2009,2009
335,Emmanuel Eboué,Côte d'Ivoire,2009,2009
81,Eric Lichaj,USA,2009,2009
344,Gavin Jude Gunning,Republic of Ireland,2009,2009
616,Gaël Romeo Kakuta Mambenga,Congo DR,2009,2009
143,Glenn David Whelan,Republic of Ireland,2009,2009
592,Gregory Richard Cunningham,Republic of Ireland,2009,2009
423,Gunnar Nielsen,Faroe Islands,2009,2009
332,Hérita N'Kongolo Ilunga,Congo DR,2009,2009
587,James O'Shea,Republic of Ireland,2009,2009
630,James Patrick McCarthy,Republic of Ireland,2009,2009
290,Ji,Korea Republic,2009,2009
314,John Francis Dunleavy,Republic of Ireland,2009,2009
123,John O'Shea,Republic of Ireland,2009,2009
103,Jonathan Spector,USA,2009,2009
313,Joseph Martin O'Brien,Republic of Ireland,2009,2009
88,Josmer Volmy Altidore,USA,2009,2009
154,Keith Andrews,Republic of Ireland,2009,2009
498,Keith Fahey,Republic of Ireland,2009,2009
318,Keith Treacy,Republic of Ireland,2009,2009
149,Kevin Doyle,Republic of Ireland,2009,2009
352,Kevin Foley,Republic of Ireland,2009,2009
158,Kevin Kilbane,Ireland Republic,2009,2009
330,Kolo Habib Touré,Côte d'Ivoire,2009,2009
110,Landon Donovan,USA,2009,2009
129,Liam Lawrence,Republic of Ireland,2009,2009
333,Lohoré Steve Ulrich Gohouri,Côte d'Ivoire,2009,2009
124,Marc David Wilson,Republic of Ireland,2009,2009
114,Marcus Hahnemann,USA,2009,2009
519,Michael William Liddle,Republic of Ireland,2009,2009
554,Nadir Çiftçi,Türkiye,2009,2009
122,Paul McShane,Republic of Ireland,2009,2009
253,Richard Dunne,Republic of Ireland,2009,2009
229,Robbie Keane,Republic of Ireland,2009,2009
480,Roy Simon O'Donovan,Republic of Ireland,2009,2009
326,Salomon Armand Magloire Kalou,Côte d'Ivoire,2009,2009
634,Shane Patrick Michael Duffy,Republic of Ireland,2009,2009
265,Shay Given,Republic of Ireland,2009,2009
136,Stephen Carr,Ireland Republic,2009,2009
132,Stephen Hunt,Republic of Ireland,2009,2009
264,Stephen Ireland,Republic of Ireland,2009,2009
128,Stephen Kelly,Republic of Ireland,2009,2009
499,Stephen O'Halloran,Republic of Ireland,2009,2009
142,Stephen Robert Ward,Republic of Ireland,2009,2009
535,Steven Reid,Republic of Ireland,2009,2009
276,Stuart Holden,USA,2009,2009
588,Séamus Coleman,Republic of Ireland,2009,2009
288,Timothy Matthew Howard,USA,2009,2009
227,Won,Korea Republic,2009,2009
