,first_name,last_name,team_name,season
0,Wayne,Routledge,Swansea,2011
1,Craig,Gardner,Sunderland,2011
2,Csaba,Somogyi,Fulham,2011
3,Gustavo Lucas,Domingues Piazón,Chelsea,2011
4,Daniel Jesse,Boateng,Arsenal,2011
5,Ali Abdullah Harib,Al Habsi,Wigan,2011
6,Rubén,Rochina Naixes,Blackburn,2011
7,Clint,Hill,QPR,2011
8,Stuart,Taylor,Manchester City,2011
9,Victor Chinedu,Anichebe,Everton,2011
10,Carlos Javier,Cuéllar Jiménez,Aston Villa,2011
11,Ronnie,Stam,Wigan,2011
12,Tommy,Smith,QPR,2011
13,Titus Malachi,Bramble,Sunderland,2011
14,Albert,Crusat Domene,Wigan,2011
15,Fitz,Hall,QPR,2011
16,Jody,Craddock,Wolves,2011
17,Rob,Hulse,QPR,2011
18,Jonathan,Greening,Fulham,2011
19,Philip,Airey,Newcastle,2011
20,Tyrone,Mears,Bolton,2011
21,Nathan Luke,Baker,Aston Villa,2011
22,Korey Alexander,Sheridan Smith,Norwich,2011
23,Nathan,Dyer,Swansea,2011
24,Samuel Edward,Hutchinson,Chelsea,2011
25,Elliott,Bennett,Norwich,2011
26,Callum Henry,McManaman,Wigan,2011
27,Joshua James,Vela,Bolton,2011
28,Darren Antony,Pratley,Bolton,2011
29,Cameron,Jerome,Stoke City,2011
30,Chinedum,Onuoha,QPR,2011
31,Steve,Sidwell,Fulham,2011
32,Tony,Hibbert,Everton,2011
33,Carlo,Nash,Stoke City,2011
34,Luke,Moore,Swansea,2011
35,Andy,Marshall,Aston Villa,2011
36,Elvijs,Putnins,QPR,2011
37,Oliver,Gill,Manchester United,2011
38,Jake,Nicholson,Tottenham,2011
39,Sean,Davis,Bolton,2011
40,Jose,Baxter,Everton,2011
41,Benjamin,Watson,Wigan,2011
42,Àngel,Rangel Zaragoza,Swansea,2011
43,George,Thorne,West Brom,2011
44,Paul Michael,Downing,West Brom,2011
45,Jay Francis,Spearing,Liverpool,2011
46,James Robert,Wallace,Everton,2011
47,Michael,Kightly,Wolves,2011
48,Anton,Ferdinand,QPR,2011
49,Andrew,Davies,Stoke City,2011
50,Leon,Barnett,Norwich,2011
51,Florent,Cuvelier,Stoke City,2011
52,Jerome,Thomas,West Brom,2011
53,Hogan,Ephraim,QPR,2011
54,Patrick,Agyemang,QPR,2011
55,Adam,Drury,Norwich,2011
56,Troy,Hewitt,QPR,2011
57,Danny,Higginbotham,Stoke City,2011
58,Ryan,Noble,Sunderland,2011
59,Craig,Lynch,Sunderland,2011
